nombre,edad,calle,ciudad,provincia,cp,longitud,latitud
Clímaco del Iriarte,67,Avenida de Nieves Sanmartín 37,Vizcaya,Asturias,39241,108.659897,2.8539385
Elpidio Artigas,65,Vial de Loreto Ortiz 67 Apt. 54 ,Toledo,Santa Cruz de Tenerife,21742,87.864878,31.954166
Belén Jaume Carvajal,33,Glorieta de Adalberto Piña 95,Córdoba,Huesca,40127,160.624856,25.1144645
Fernanda de Valle,79,Urbanización Yésica Montalbán 49 Piso 6 ,Alicante,Málaga,44001,-130.070016,-65.3753765
Belen Iborra Vives,20,Cuesta Luís Cueto 37,Ourense,Girona,28441,-70.525781,-87.822167
Hector Bonet Hernández,57,Urbanización de Cipriano Guardia 42,Madrid,Pontevedra,02898,26.615720,-73.6424765
Ulises Salmerón Fábregas,76,Avenida Daniel Cal 85 Piso 6 ,León,Córdoba,45875,-14.326412,45.072546
Celia Palacio Pont,73,Pasadizo de María Chaparro 66,Madrid,La Coruña,36718,-157.974234,-64.397398
Berto Herrera Corominas,74,Calle Dafne Cañete 81,Huesca,Albacete,39539,156.574801,-31.9546515
Áurea Bas Maestre,72,Via Andrea Torrents 21 Apt. 84 ,Burgos,Ciudad,24292,-173.998551,-15.411550
Xavier Eustaquio Olivares Llano,66,Calle de Renata Cortes 926,Granada,Lugo,39675,80.170733,-84.2562335
Manu Naranjo Olmo,71,Acceso de Dionisia Pons 13,Palencia,Badajoz,21018,-56.256590,-6.2769175
Omar Diego,51,Pasaje Rolando Rivero 80 Apt. 79 ,Madrid,Barcelona,06493,-79.453736,23.549955
Aureliano Peiró Ferrera,76,Pasaje Malena Zorrilla 72,Valladolid,Huelva,13577,126.219410,16.571949
Paulino Gallo Quevedo,72,Pasadizo de Febe Iriarte 74,Granada,Las Palmas,29429,-99.424051,-48.493268
Leonor de Carretero,58,Ronda Angelina Castilla 91,Toledo,Girona,38176,130.580131,-18.675615
Jaime Molina-Ferrera,33,Callejón Emma Páez 83 Piso 7 ,Salamanca,Valencia,32323,-63.481384,-3.747827
Bernardita Yáñez Bonilla,71,Rambla Eulalia Peñas 959 Puerta 4 ,Burgos,Pontevedra,42326,-42.972375,69.9910815
Gerardo Matías Atienza Zabaleta,57,Urbanización Timoteo Gabaldón 22,León,Murcia,31017,168.535393,-80.559057
Roberto Prado Lasa,19,Paseo de Ariel Bosch 12 Apt. 60 ,Las Palmas,Toledo,34103,68.758736,58.526981
Luciano Azcona Alcalde,19,Cuesta de Octavia Escolano 82,Ceuta,Valencia,21117,-130.344724,-80.805423
Gonzalo Serrano Romeu,39,Via Felix Vila 410 Apt. 28 ,Málaga,Baleares,37140,70.924223,-11.359090
Brígida Domitila Pina Leal,54,Via de Bonifacio Sureda 4 Apt. 65 ,Cuenca,Asturias,39066,-56.366323,50.5766745
Silvestre Juan Francisco Echevarría Rojas,19,Calle Tecla Bolaños 27,Valencia,Madrid,51075,-177.408191,-30.4059245
Elodia Gil Quero,56,Avenida de Gabriela Ríos 59,Sevilla,Madrid,34086,88.809810,-85.1323655
Beatriz Arjona Calderon,30,C. Adrián Cantero 59,Madrid,Granada,17848,106.500480,84.0680315
Elba Mas,26,Camino de Anastasio Villa 25 Piso 7 ,Alicante,Teruel,21672,-107.021690,45.3706015
Gabino Segovia Valero,67,Urbanización de Malena Clavero 43,Ourense,Córdoba,24525,126.024501,-71.183592
Vanesa Nuñez Cuevas,53,Ronda de Leonel Saez 14 Piso 1 ,Baleares,Girona,10627,60.492596,21.681530
Ernesto Gargallo Cabrera,33,Via Viviana Larrañaga 18,Madrid,Navarra,43065,116.728409,-34.109543
Juan Bautista Rivas Ferrera,37,Pasadizo Juan Pablo Andreu 520 Puerta 4 ,Las Palmas,Alicante,46240,8.566221,-26.9070545
Carla Reina Conde,23,Callejón Octavio Armengol 70 Piso 2 ,Las Palmas,Segovia,46068,63.920232,27.977125
Mónica Viviana Sánchez Tejada,23,C. Edmundo Noriega 40 Apt. 09 ,Toledo,Palencia,49931,30.516634,-79.2386935
Isidro Pol-Valencia,30,Avenida Luís Enríquez 29,Ávila,Tarragona,32284,-161.488591,-19.930125
Régulo Bello Rosselló,75,Acceso Herberto Bolaños 964 Puerta 8 ,Ourense,Baleares,19397,-135.901942,59.6725665
Luis Ángel Calzada Cazorla,77,C. de Mauricio Lerma 6 Puerta 7 ,Zamora,Asturias,30803,-151.927645,82.257428
Heliodoro Serna Rosselló,74,Glorieta de Toni Pereira 1 Apt. 42 ,Zamora,Guadalajara,25252,2.019202,17.7173055
Jacobo Andrés Perales Pagès,29,Ronda de Poncio Gaya 744 Apt. 54 ,Baleares,Madrid,43270,165.219971,4.1126045
Rodrigo Gomis Escrivá,21,Alameda de Olalla Pardo 3 Piso 4 ,Baleares,La Rioja,18366,60.933280,47.058255
Eduardo Tejera Monreal,76,Alameda de Cintia Colom 77,Cáceres,Pontevedra,31579,-106.914917,-44.6655315
Lara Emperatriz Cañellas Zamorano,50,Paseo de Gema Diego 78,Palencia,Huesca,48899,39.996390,-54.7801985
Paula Roselló Amador,41,Plaza Calixta Gárate 51 Piso 2 ,Zamora,Burgos,51655,-106.401278,-52.2921585
Vinicio Rosselló Sacristán,69,Ronda Nuria Cases 3 Piso 0 ,Baleares,Lleida,46919,-54.500963,32.0636795
Marisela Beltran Bou,77,Glorieta Nicodemo Espejo 66,Melilla,Soria,42100,-81.013526,-44.241990
Américo Bartolomé Llobet,57,C. de Santiago Tolosa 56,Las Palmas,Palencia,16580,65.990783,-34.264938
Luís Juárez Méndez,72,Rambla Jenny Gallo 77,Palencia,Albacete,45842,110.724115,57.127364
Verónica Gomis Arteaga,43,Avenida Wilfredo Amorós 611,Córdoba,Lleida,12535,-77.891193,27.4235115
Pastor Ramirez,34,Pasaje de Raquel Fiol 87 Apt. 21 ,Santa Cruz de Tenerife,Cantabria,23978,154.390597,7.1044155
Berta Juliá Conde,19,Pasadizo de Obdulia Nadal 2 Puerta 1 ,Cuenca,Alicante,04563,156.168316,-48.0576155
Quique de Carbajo,19,Avenida de Iker Leiva 93 Puerta 9 ,Ceuta,Asturias,03084,12.220350,-32.729137
Marisa Ariza Olivé,19,Plaza Gema Cerro 1,Guadalajara,La Rioja,45523,-77.938363,-35.670200
José Ángel Manzanares Moliner,59,Acceso Áurea Lamas 592,Castellón,León,38521,-136.367136,-18.865375
Aarón Tomas Leal,19,Cuesta Patricia Rocha 18 Apt. 00 ,Ceuta,Córdoba,10296,82.409005,16.3691565
Evita Nuñez-Peña,41,Camino de Guiomar Pérez 87,Toledo,Murcia,28929,-105.729897,72.665848
Anastasio Plinio Terrón Gilabert,21,Pasaje de Ángela Tamayo 48,La Coruña,Alicante,39438,47.081247,89.2297215
Cebrián de Cuadrado,22,Vial de Rodrigo Bernat 303,Burgos,Cádiz,37823,-98.583246,-72.930922
Andrea Iborra Artigas,41,Glorieta de Amada Chacón 12 Apt. 11 ,La Coruña,Valencia,22236,-141.578341,-87.110187
Albano Casas Cáceres,70,Acceso Lilia Mayo 83 Apt. 94 ,La Rioja,Castellón,43728,104.650495,-1.052412
Georgina Huerta Santiago,47,Via Nadia Escrivá 19 Apt. 30 ,Baleares,Cádiz,33574,112.865072,82.0642165
Paula Hoyos Milla,45,Rambla de Anabel Elías 14 Apt. 16 ,Granada,Melilla,25220,-52.613092,34.5252125
Yolanda Sacristán Escamilla,50,Plaza de Pascuala Grande 88 Apt. 60 ,Badajoz,Álava,07265,114.638771,75.8272915
Cruz Barrena-Morillo,38,Vial de Quique Calleja 13,Alicante,Vizcaya,44667,-96.308625,80.883668
Bibiana Canals,68,Cuesta de Rocío Tormo 36,Zamora,Teruel,06193,-157.819365,-28.8855585
Olga Maza Cañizares,48,Acceso Lorena Badía 29 Puerta 3 ,Burgos,Ourense,42811,130.875529,15.368694
Loreto del Vendrell,78,Glorieta de Diana Aramburu 2 Piso 8 ,Lugo,Lugo,18843,-172.618975,-47.0454975
Poncio Ortiz,41,Cuesta de Dominga Torrens 1,Málaga,Córdoba,04765,98.933270,27.250177
Abilio Rius Zaragoza,66,Acceso de Iván Carvajal 8,Ávila,La Coruña,34241,-32.974550,-25.1196675
Faustino del Segarra,73,Cañada de Jessica Granados 808,Las Palmas,Badajoz,28260,12.068336,-89.9321945
Telmo Tenorio Cañizares,38,Acceso de Carmelita Navarrete 42 Piso 7 ,Badajoz,Cáceres,37715,25.156780,15.786322
Jesús Catalá Galan,48,Paseo Adriana Almansa 5 Puerta 0 ,Las Palmas,Murcia,09045,-146.906490,79.037507
María Fernanda Jerez,80,Acceso de Nydia Seco 71 Puerta 6 ,Huelva,Vizcaya,12012,-29.060916,-18.702450
Remigio Chus Moles Andrade,29,Pasaje Nilo Fuente 64,Salamanca,Cádiz,46265,4.521151,65.835491
Tristán Reina Tamayo,41,Alameda de Petrona Ibañez 4,Barcelona,Pontevedra,34995,83.477062,-56.793477
Íñigo Ayala Nieto,19,Cañada de Severiano Español 94 Puerta 8 ,Melilla,Huesca,15871,157.943717,-47.637420
Carmelo Aroca Luque,20,Ronda Armando Tormo 61 Piso 7 ,Ávila,Toledo,46290,-175.918183,2.7859815
Benito Rodríguez-Lobato,72,Calle Nicodemo Avilés 87 Apt. 09 ,Lleida,Girona,30633,-99.092988,-82.197263
Juanita Barbero Ballesteros,69,Cuesta Samu Pérez 51,La Rioja,Lleida,51046,-115.343231,-57.803270
Guiomar Parejo Caparrós,36,Acceso de Vera Botella 93,Guipúzcoa,Tarragona,38316,-137.635349,35.611311
Juan Antonio Pascual Rojas,72,Camino de Antonio Carpio 37 Piso 6 ,Huelva,Huelva,12895,93.353048,39.0669735
Cintia Nicolás-Molina,25,Vial Graciana Olmedo 470 Apt. 67 ,Vizcaya,Barcelona,33398,85.830494,9.853717
Venceslás Bueno Feliu,49,Plaza Lupe Santiago 35 Puerta 3 ,Huelva,Las Palmas,31598,-36.229678,-88.9272085
Itziar Asenjo-Valero,47,Via Mateo Sierra 644,Burgos,Cáceres,50503,21.171266,-66.8964185
Moreno Villalba Hervás,62,Via Inocencio Correa 232 Puerta 5 ,Málaga,Segovia,28895,138.024428,48.7863015
José Ángel Arana,27,Alameda Rodrigo Segura 1 Apt. 07 ,Melilla,Ávila,31590,-133.112610,-84.1923065
Geraldo Guitart Torrents,66,Cañada María Jesús Correa 89,Burgos,Santa Cruz de Tenerife,16256,83.482454,-20.120767
Angelita Sevillano Tejero,19,Rambla Isidro Sarabia 26 Apt. 28 ,Santa Cruz de Tenerife,Segovia,18581,7.382438,-62.9331355
Margarita Ortega Bou,39,Calle de Encarnita Castejón 53,Tarragona,Toledo,19521,-18.116388,-49.763246
Petrona Vallés Bermúdez,30,Cuesta Miguel Ángel Cañas 378,Castellón,Cuenca,29451,133.121288,76.952931
Luciana Cózar,70,Via Edelmiro Gibert 64,Burgos,Melilla,19128,-81.756174,-30.434152
Itziar Aznar-Folch,32,Acceso Apolonia Carrión 83,Córdoba,Teruel,20448,-43.586333,-9.2778875
Imelda Martin Pomares,32,Glorieta Máxima Cobos 49,Lugo,Castellón,23330,-168.984246,18.7542725
Miriam Ródenas Corral,70,Calle de Lucio Velasco 88 Piso 7 ,Badajoz,Cáceres,42276,10.666124,83.6045605
Ariel Clotilde Carnero Valera,54,Rambla de Jovita Bayón 33,Zamora,Huesca,20586,109.893278,33.4369995
Eliseo Carreras Sáenz,34,Cañada Borja Martínez 178 Piso 8 ,Santa Cruz de Tenerife,León,46988,109.789082,-14.523118
Angelino Iglesia Valencia,60,Avenida de Elías Barbero 26,Zamora,Zaragoza,10937,125.743158,-76.9298305
Reinaldo Pozuelo Meléndez,75,Calle de Gracia Amador 4 Piso 7 ,Lugo,Málaga,51635,95.364519,69.2343825
Irene Rivero,53,Avenida Tecla Sanjuan 365 Puerta 7 ,Madrid,Guipúzcoa,12846,-56.057969,44.289625
Bruno del Guitart,45,Via Marcelo Camps 99,Vizcaya,Segovia,48987,32.144034,-65.106007
Santiago Quirós,74,Cuesta de Elías Botella 40,Segovia,Albacete,38546,37.501030,-58.683940
Itziar Arco Piñeiro,21,Glorieta de Pío Muro 71,Melilla,Huelva,09084,-151.299793,18.9411785
Cornelio Alarcón Ropero,36,Plaza Ciriaco Exposito 494,Valencia,Lleida,15544,171.982302,68.3768225
Elisa Florentina Carreño Ortiz,43,Callejón de Noelia Ramón 20 Puerta 5 ,Granada,Jaén,27461,143.835390,-84.5123035
Carina del Quesada,57,Rambla Marc Narváez 37 Piso 5 ,Las Palmas,Málaga,48353,-117.387876,15.216138
Celia Gelabert Benavent,30,Callejón de Oriana Bermudez 55,Huesca,Sevilla,37396,114.667370,12.5471145
Hernán Zorrilla,25,Cuesta Valeria Garriga 9 Puerta 2 ,Burgos,La Rioja,09671,-51.759154,76.0839175
Leonor del Andreu,33,Camino de Chelo Sans 82,Jaén,Badajoz,29420,6.921870,-70.0427965
Laura Marí-Santiago,55,Camino de Rosario Carmona 92 Apt. 53 ,Santa Cruz de Tenerife,Ourense,21621,164.078539,6.242620
Gabino Benavente Beltrán,25,Glorieta de Elba Aparicio 28,Granada,Guadalajara,14227,-167.753579,71.701044
Valeria Gertrudis Río Larrea,26,Alameda Joel Romeu 56,Melilla,Lleida,28165,77.509551,-20.257373
Isabel Vara Granados,80,Rambla Dorita Palomo 686 Piso 9 ,Lugo,Ávila,42978,132.162855,30.3367705
Paulina Escrivá Padilla,21,Paseo de Calista Calzada 558 Apt. 83 ,Pontevedra,León,41630,143.781546,-46.614731
Constanza Nicolau Salvador,66,Callejón Florencio Falcó 947 Apt. 14 ,Cantabria,Teruel,16404,53.137713,5.183669
Gil Garmendia,75,Pasadizo de Iris Ricart 96 Piso 2 ,Cuenca,Salamanca,16037,119.998261,1.659341
Cebrián Diaz Cases,30,Ronda Joan Colom 3,Girona,Castellón,12398,159.358568,-79.8699595
Ciriaco Camino Benet,79,Avenida Emma Garzón 9,Guadalajara,Ávila,17326,123.000390,-88.493845
Hilario Luís Carrera Elías,66,Alameda Pepita Mendoza 1,Cáceres,Ávila,40129,40.870000,-7.745840
María Carmen Infante-Canals,69,Alameda Jose Peñas 223 Piso 5 ,Cáceres,Zaragoza,25173,-162.852391,67.5501475
Manu Franco Pintor,62,Vial Ibán Feijoo 539 Apt. 73 ,Murcia,Pontevedra,41385,-143.327014,-82.616305
Jose Antonio Morante Cañete,19,Calle de Guadalupe Reguera 9 Piso 4 ,Sevilla,La Rioja,22943,34.882854,77.312703
María Carmen Tatiana Martínez Osuna,74,Calle de Samanta Solé 787 Apt. 58 ,Toledo,Ourense,28591,-78.807416,29.8414875
Albano Barrios Bayona,80,C. Rosenda Borrego 4,Valladolid,Soria,24583,66.998567,3.0547405
Maura Cortes-Ramos,76,Ronda de Feliciano González 69,Sevilla,Valladolid,13727,84.156555,-73.0322755
Paulino Esparza Abellán,72,Vial Nando Pou 57 Apt. 37 ,Guadalajara,Cantabria,45021,131.901696,-26.2660925
José Manuel Mena-Oliveras,44,Callejón de Nicodemo Dominguez 472,Zaragoza,Almería,01538,-72.276007,22.811475
Débora Antúnez Hoyos,31,Urbanización Benito Alsina 68 Piso 5 ,Granada,Granada,26486,91.214857,-1.5326175
Emelina Capdevila Torre,35,Glorieta Zoraida Fuente 87,Burgos,Vizcaya,21174,143.064868,72.2050895
Emiliano Frutos-Moraleda,60,Alameda Marianela Bustamante 85 Piso 5 ,Segovia,Zaragoza,16899,-74.399447,-11.3876855
Nerea Figuerola-Font,23,Plaza Nydia Salgado 9 Apt. 70 ,La Rioja,Asturias,46589,67.089926,78.9375175
Mamen Andres Ugarte,47,Cañada Iván Cuéllar 373 Piso 4 ,Castellón,Granada,49036,-123.439159,52.3453825
Simón Canals Salvà,28,Cañada de Pepita Villaverde 63,Lugo,Guipúzcoa,44427,-170.144065,32.3481375
Julieta Mascaró Gomila,32,Glorieta de Geraldo Casal 5 Apt. 60 ,Albacete,Lugo,15994,141.988102,-57.716323
Albert del Villalonga,47,Pasaje Marco Casals 24 Piso 0 ,Baleares,Girona,47587,-52.982092,86.2285505
Chelo Blanes Blázquez,67,Callejón Valentín Mesa 37,Sevilla,Granada,42925,-105.239487,78.9542365
Reina Perea Carrasco,54,Plaza de Marcia Escudero 72 Apt. 55 ,Tarragona,Ourense,03889,69.305873,-89.1428065
Sosimo Granados-Ferrer,76,Via Morena Feijoo 7 Apt. 48 ,Valladolid,Lugo,24809,-65.452885,-77.6915745
Loida Carballo Salvador,44,Urbanización Carlos Tamayo 56,Almería,Murcia,06099,47.151521,-26.2175555
Buenaventura Sevilla Quesada,70,Cuesta Catalina Ripoll 8 Puerta 8 ,Madrid,Las Palmas,42327,-11.904364,-21.7862295
Elodia Armas Castro,61,Plaza Sol Estrada 2,Valladolid,Soria,19742,-113.821737,27.561892
Marcial Pedrosa-Mendez,72,Glorieta Alonso Escribano 47 Piso 3 ,Almería,Murcia,50392,-147.715780,-85.5343135
Prudencio Salazar Torrents,63,Camino Pilar Pina 5,Guipúzcoa,Asturias,45448,-21.397833,-29.951017
Marisa del Feijoo,26,Ronda Flavia Beltran 57 Puerta 3 ,Granada,Pontevedra,27096,-62.226656,-85.3515965
Graciana Ariza Martorell,60,Paseo Ainoa Querol 8,Toledo,León,12713,59.263224,0.6643975
Asdrubal Puente-Gómez,36,Alameda Felisa Arrieta 1 Piso 2 ,León,Cantabria,41942,51.051146,59.609583
Carmelo Cuadrado Bautista,58,Camino Amador Galindo 45 Piso 0 ,Zamora,Zamora,37558,-156.631442,-38.530082
Noa Sola Pozuelo,46,Calle Lucía Carvajal 54,Zamora,Palencia,03233,-116.530450,-21.1172465
Teófilo Carbonell Arnaiz,71,Rambla Yago Estevez 33 Puerta 2 ,Córdoba,Girona,45408,-145.930042,33.1846265
Jennifer Carro Rivas,29,Cuesta de Enrique Gutierrez 2,Ceuta,Castellón,50477,-19.499124,-43.831907
Bernardita Molina Viana,51,Calle de Carla Marqués 64,Málaga,Álava,18608,85.352080,-28.208811
Ernesto Valerio Benavent Arnaiz,39,Calle de Alma Cabeza 62 Piso 4 ,Ciudad,Albacete,10018,-154.431690,-70.7327765
Custodio Arellano,47,Acceso Encarnacion Roldan 5,Valencia,Málaga,23067,-90.074601,-5.514449
Coral Arco Arcos,36,Plaza Juan Carlos Goñi 25,Badajoz,Girona,18504,5.702244,35.0175075
Natalio Abad Lozano,32,Urbanización de Rodrigo Folch 78,Pontevedra,Santa Cruz de Tenerife,10278,-146.608688,31.5542655
Noelia Falcó Pazos,56,Cañada de Celestina Ariza 15 Piso 9 ,Las Palmas,Murcia,35581,115.644287,-68.278494
Fabiana Terrón,73,Cañada de Leandra Cerdán 10 Puerta 2 ,Ourense,Ciudad,22477,-127.696700,29.910029
Reinaldo Valle,45,Acceso de Cosme Amaya 24,Las Palmas,Teruel,03033,61.862475,-26.132140
Melisa del Bonet,75,Acceso Reyna Escrivá 56,Huesca,Albacete,06609,137.094841,61.0977695
Fabio Capdevila Portero,28,Urbanización Moreno Perea 36,Tarragona,Zaragoza,35538,58.674278,44.702957
Hilda del Díez,32,Ronda Calixto Benavent 8 Apt. 78 ,Alicante,Baleares,11857,166.552545,-78.221634
Florentino Parejo Martorell,46,Rambla de Samu Gomis 207 Puerta 2 ,Murcia,Albacete,41701,-54.564728,-72.8082875
Julio del Alcántara,52,Acceso de Aurelia Ramos 28 Piso 4 ,Tarragona,Girona,17602,25.171800,70.1509295
Estefanía Paca Cal Piña,59,Acceso Máximo Lillo 166,La Coruña,Baleares,49921,-157.970465,-60.9600885
Samanta Tenorio Ruano,66,C. de Encarnación Cortina 91,Girona,Almería,08888,174.278363,-45.184274
Pastor Lobo Pera,48,Pasaje Nacho Morales 27 Puerta 9 ,Tarragona,Segovia,25461,28.745055,-28.0158715
Marisol Velasco Lasa,45,Vial Emelina Abella 36 Piso 2 ,Almería,Asturias,02529,-53.346883,-0.027412
Rosenda Blanca Garcés Díez,71,Urbanización Marisol Perera 164,Asturias,Toledo,51072,105.525417,46.807221
María Sanjuan-Alberdi,66,Camino Julio Bonilla 29 Piso 4 ,Santa Cruz de Tenerife,León,36920,140.414816,-12.1519315
José Manuel Landa Guerra,72,Pasadizo de Felicidad Tamarit 23,Albacete,Guadalajara,38739,3.648812,-57.422337
Rosaura Abigaíl Guitart López,37,Via Alexandra Fuentes 62 Puerta 7 ,Zaragoza,León,30813,-32.699263,-85.4435845
Cristina Pinto Pedrero,71,Plaza de Eva María Bernad 46 Piso 5 ,La Coruña,León,22288,139.289084,62.229632
Margarita de Sandoval,22,Glorieta de Balduino Espinosa 6 Puerta 2 ,Asturias,Madrid,50813,74.451008,-67.4582605
